Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_Stage,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,tissue,antibody
SRR26266483,FAIRE-seq,150,2403318000,PRJNA1023553,SAMN37663387,827673625,UNC-CHAPEL HILL,missing,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",24-36h APF Pupae,SRX21975985,"nub-GAL4\, UAS-Nslmb-vhhGFP ; osa-GFP",uncalculated,uncalculated,missing,NextSeq 2000,GSM7819056,PAIRED,other,GENOMIC,Drosophila melanogaster,ILLUMINA,2023-10-04T00:00:00Z,2023-10-04T02:36:00Z,1,GSM7819056,female,wing,SRP464339,wing,
SRR26266484,FAIRE-seq,150,2643838650,PRJNA1023553,SAMN37663388,911064563,UNC-CHAPEL HILL,missing,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",24-36h APF Pupae,SRX21975984,"nub-GAL4\, UAS-Nslmb-vhhGFP ; osa-GFP",uncalculated,uncalculated,missing,NextSeq 2000,GSM7819055,PAIRED,other,GENOMIC,Drosophila melanogaster,ILLUMINA,2023-10-04T00:00:00Z,2023-10-04T02:37:00Z,1,GSM7819055,female,wing,SRP464339,wing,
SRR26266479,OTHER,100,1254604500,PRJNA1023547,SAMN37663383,397561862,UNC-CHAPEL HILL,missing,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",third larval wandering,SRX21975983,yw,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7819026,PAIRED,other,GENOMIC,Drosophila melanogaster,ILLUMINA,2023-10-04T00:00:00Z,2023-10-04T02:35:00Z,1,GSM7819026,male,wing,SRP464332,wing,Active Motif rabbit anti-H3K27ac #39135
SRR26266480,OTHER,100,1014860400,PRJNA1023547,SAMN37663384,321226624,UNC-CHAPEL HILL,missing,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",third larval wandering,SRX21975982,yw,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7819025,PAIRED,other,GENOMIC,Drosophila melanogaster,ILLUMINA,2023-10-04T00:00:00Z,2023-10-04T02:35:00Z,1,GSM7819025,male,wing,SRP464332,wing,Active Motif rabbit anti-H3K27ac #39135
SRR26266481,FAIRE-seq,150,2490999450,PRJNA1023553,SAMN37663385,855575253,UNC-CHAPEL HILL,missing,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",24-36h APF Pupae,SRX21975987,UAS-Nslmb-vhhGFP ; osa-GFP,uncalculated,uncalculated,missing,NextSeq 2000,GSM7819058,PAIRED,other,GENOMIC,Drosophila melanogaster,ILLUMINA,2023-10-04T00:00:00Z,2023-10-04T02:35:00Z,1,GSM7819058,female,wing,SRP464339,wing,
SRR26266482,FAIRE-seq,150,2035570800,PRJNA1023553,SAMN37663386,702794685,UNC-CHAPEL HILL,missing,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",24-36h APF Pupae,SRX21975986,UAS-Nslmb-vhhGFP ; osa-GFP,uncalculated,uncalculated,missing,NextSeq 2000,GSM7819057,PAIRED,other,GENOMIC,Drosophila melanogaster,ILLUMINA,2023-10-04T00:00:00Z,2023-10-04T02:35:00Z,1,GSM7819057,female,wing,SRP464339,wing,
SRR26267461,OTHER,152,8040389752,PRJNA1023549,SAMN37663472,2522034978,UNC-CHAPEL HILL,missing,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",third larval wandering,SRX21976963,yw,uncalculated,uncalculated,missing,NextSeq 2000,GSM7819030,PAIRED,other,GENOMIC,Drosophila melanogaster,ILLUMINA,2023-10-04T00:00:00Z,2023-10-04T03:30:00Z,1,GSM7819030,female,wing,SRP464342,wing,Rockland rabbit anti-GFP 600-401-2156
SRR26267462,OTHER,152,2443982312,PRJNA1023549,SAMN37663473,766346814,UNC-CHAPEL HILL,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",third larval wandering,SRX21976962,yw,uncalculated,uncalculated,missing,NextSeq 2000,GSM7819029,PAIRED,other,GENOMIC,Drosophila melanogaster,ILLUMINA,2023-10-04T00:00:00Z,2023-10-04T03:22:00Z,1,GSM7819029,female,wing,SRP464342,wing,Rockland rabbit anti-GFP 600-401-2156
SRR26267463,OTHER,152,3761366768,PRJNA1023549,SAMN37663474,1192587943,UNC-CHAPEL HILL,missing,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",third larval wandering,SRX21976961,Osa-GFP,uncalculated,uncalculated,missing,NextSeq 2000,GSM7819028,PAIRED,other,GENOMIC,Drosophila melanogaster,ILLUMINA,2023-10-04T00:00:00Z,2023-10-04T03:24:00Z,1,GSM7819028,female,wing,SRP464342,wing,Rockland rabbit anti-GFP 600-401-2156
SRR26267464,OTHER,152,4837775136,PRJNA1023549,SAMN37663475,1526425311,UNC-CHAPEL HILL,missing,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",third larval wandering,SRX21976960,Osa-GFP,uncalculated,uncalculated,missing,NextSeq 2000,GSM7819027,PAIRED,other,GENOMIC,Drosophila melanogaster,ILLUMINA,2023-10-04T00:00:00Z,2023-10-04T03:29:00Z,1,GSM7819027,female,wing,SRP464342,wing,Rockland rabbit anti-GFP 600-401-2156
